time,TotalCallMinutes
2018-01-14T00:00:00.000-0500,0
2018-01-15T00:00:00.000-0500,0
2018-01-16T00:00:00.000-0500,0
2018-01-17T00:00:00.000-0500,0
2018-01-18T00:00:00.000-0500,0
2018-01-19T00:00:00.000-0500,0
2018-01-20T00:00:00.000-0500,0
2018-01-21T00:00:00.000-0500,0
2018-01-22T00:00:00.000-0500,0
2018-01-23T00:00:00.000-0500,0
2018-01-24T00:00:00.000-0500,0
2018-01-25T00:00:00.000-0500,0
2018-01-26T00:00:00.000-0500,0
2018-01-27T00:00:00.000-0500,0
2018-01-28T00:00:00.000-0500,0
2018-01-29T00:00:00.000-0500,0
2018-01-30T00:00:00.000-0500,0
2018-01-31T00:00:00.000-0500,0
2018-02-01T00:00:00.000-0500,0
2018-02-02T00:00:00.000-0500,0
2018-02-03T00:00:00.000-0500,0
2018-02-04T00:00:00.000-0500,0
2018-02-05T00:00:00.000-0500,0
2018-02-06T00:00:00.000-0500,0
2018-02-07T00:00:00.000-0500,0
2018-02-08T00:00:00.000-0500,0
2018-02-09T00:00:00.000-0500,0
2018-02-10T00:00:00.000-0500,0
2018-02-12T00:00:00.000-0500,0
2018-02-13T00:00:00.000-0500,0
2018-02-14T00:00:00.000-0500,0
2018-02-15T00:00:00.000-0500,0
2018-02-16T00:00:00.000-0500,0
2018-02-17T00:00:00.000-0500,0
2018-02-18T00:00:00.000-0500,0
2018-02-20T00:00:00.000-0500,0
2018-02-21T00:00:00.000-0500,0
2018-02-22T00:00:00.000-0500,0
2018-02-23T00:00:00.000-0500,0
2018-02-24T00:00:00.000-0500,0
2018-02-25T00:00:00.000-0500,0
2018-02-26T00:00:00.000-0500,0
2018-02-27T00:00:00.000-0500,0
2018-02-28T00:00:00.000-0500,0
2018-03-01T00:00:00.000-0500,0
2018-03-02T00:00:00.000-0500,0
2018-03-03T00:00:00.000-0500,0
2018-03-04T00:00:00.000-0500,0
2018-03-05T00:00:00.000-0500,0
2018-03-06T00:00:00.000-0500,0
2018-03-07T00:00:00.000-0500,0
2018-03-08T00:00:00.000-0500,0
2018-03-09T00:00:00.000-0500,0
2018-03-10T00:00:00.000-0500,0
2018-03-11T00:00:00.000-0500,0
2018-03-12T00:00:00.000-0400,0
2018-03-13T00:00:00.000-0400,0
2018-03-14T00:00:00.000-0400,0
2018-03-15T00:00:00.000-0400,0
2018-03-16T00:00:00.000-0400,0
2018-03-17T00:00:00.000-0400,0
2018-03-19T00:00:00.000-0400,0
2018-03-20T00:00:00.000-0400,0
2018-03-21T00:00:00.000-0400,0
2018-03-22T00:00:00.000-0400,0
2018-03-23T00:00:00.000-0400,0
2018-03-24T00:00:00.000-0400,0
2018-03-25T00:00:00.000-0400,0
2018-03-26T00:00:00.000-0400,0
2018-03-27T00:00:00.000-0400,0
2018-03-28T00:00:00.000-0400,0
2018-03-29T00:00:00.000-0400,0
2018-03-30T00:00:00.000-0400,0
2018-04-01T00:00:00.000-0400,0
2018-04-02T00:00:00.000-0400,0
2018-04-03T00:00:00.000-0400,0
2018-04-04T00:00:00.000-0400,0
2018-04-05T00:00:00.000-0400,0
2018-04-06T00:00:00.000-0400,0
2018-04-07T00:00:00.000-0400,0
2018-04-08T00:00:00.000-0400,0
2018-04-09T00:00:00.000-0400,0
2018-04-10T00:00:00.000-0400,0
2018-04-11T00:00:00.000-0400,0
2018-04-12T00:00:00.000-0400,0
2018-04-13T00:00:00.000-0400,0
2018-04-14T00:00:00.000-0400,0
